image_id,source_dataset,filepath,original_path,original_class,unified_class,label,group_id,specimen_id,stratum,fold
current_freshwater-0272afc34415,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_130.jpg,test_split/Bacterial Red disease_Bacterial Red disease_130.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-0272afc34415,,Bacterial Red Disease|current_freshwater,1
current_freshwater-bc76b4330e61,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_186.jpg,test_split/Bacterial Red disease_Bacterial Red disease_186.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-00f1e1382549,,Bacterial Red Disease|current_freshwater,1
current_freshwater-6d1b29b6184f,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_20.jpeg,test_split/Bacterial Red disease_Bacterial Red disease_20.jpeg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-6d1b29b6184f,,Bacterial Red Disease|roboflow,1
current_freshwater-82dd4d57c5a4,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_112.jpg,train_split/Bacterial Red disease/Bacterial Red disease_112.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-82dd4d57c5a4,,Bacterial Red Disease|current_freshwater,1
current_freshwater-3b8d9cbe2212,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_119.jpg,train_split/Bacterial Red disease/Bacterial Red disease_119.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-3b8d9cbe2212,,Bacterial Red Disease|current_freshwater,1
current_freshwater-b6f75f2be617,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_126.jpg,train_split/Bacterial Red disease/Bacterial Red disease_126.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-b6f75f2be617,,Bacterial Red Disease|current_freshwater,1
current_freshwater-589913330bed,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_13.jpg,train_split/Bacterial Red disease/Bacterial Red disease_13.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-589913330bed,,Bacterial Red Disease|current_freshwater,1
current_freshwater-82b632ccdd4f,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_137.jpg,train_split/Bacterial Red disease/Bacterial Red disease_137.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-82b632ccdd4f,,Bacterial Red Disease|current_freshwater,1
current_freshwater-bfb6f62eb821,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_151.jpg,train_split/Bacterial Red disease/Bacterial Red disease_151.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-bfb6f62eb821,,Bacterial Red Disease|current_freshwater,1
current_freshwater-0cb98a9e4279,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_189.jpg,train_split/Bacterial Red disease/Bacterial Red disease_189.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-0cb98a9e4279,,Bacterial Red Disease|current_freshwater,1
current_freshwater-d55783957d37,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_85.jpg,train_split/Bacterial Red disease/Bacterial Red disease_85.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-d55783957d37,,Bacterial Red Disease|current_freshwater,1
current_freshwater-3b3ed7ea3b2e,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_115.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_115.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-0cb98a9e4279,,Bacterial Red Disease|current_freshwater,1
current_freshwater-066b6a1fe8cc,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_127.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_127.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-066b6a1fe8cc,,Bacterial Red Disease|current_freshwater,1
current_freshwater-9d9341ca2544,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_136.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_136.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-9d9341ca2544,,Bacterial Red Disease|current_freshwater,1
current_freshwater-af64d6744edc,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_140.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_140.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-af64d6744edc,,Bacterial Red Disease|current_freshwater,1
current_freshwater-69df76dd945a,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_19.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_19.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-69df76dd945a,,Bacterial Red Disease|current_freshwater,1
current_freshwater-619fb736fb59,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_190.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_190.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-619fb736fb59,,Bacterial Red Disease|current_freshwater,1
current_freshwater-2dedb6b49dc6,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_199.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_199.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-2dedb6b49dc6,,Bacterial Red Disease|current_freshwater,1
current_freshwater-6213c4c2fa06,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_202.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_202.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-6213c4c2fa06,,Bacterial Red Disease|current_freshwater,1
