image_id,source_dataset,filepath,original_path,original_filename,original_class,original_split,unified_class,mapping_status,species,specimen_id,width,height,extension,sha256,dhash,exact_dup_group,near_dup_group,group_id,group_size,included,exclusion_reason,representative_image_id
current_freshwater-a162e169536d,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_1.jpeg,test_split/Bacterial Red disease_Bacterial Red disease_1.jpeg,Bacterial Red disease_Bacterial Red disease_1.jpeg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,224,224,.jpeg,1870efcff5289da8bbe726a5b007df187a31b081cb095db2092c1547a2d0608e,101c060743161e1a,,g1302,current_freshwater-a162e169536d,1,True,,
current_freshwater-d4bb089ddcc5,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_12.jpg,test_split/Bacterial Red disease_Bacterial Red disease_12.jpg,Bacterial Red disease_Bacterial Red disease_12.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,224,224,.jpg,86edeba011b22a69ba19aa4a14e2afb0922b574b29e10ecbf474a5868adc9815,7decccccccd83033,,g3979,current_freshwater-d4bb089ddcc5,1,True,,
current_freshwater-08259b1e6c09,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_124.jpg,test_split/Bacterial Red disease_Bacterial Red disease_124.jpg,Bacterial Red disease_Bacterial Red disease_124.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,44934dc83a8d6b9f0674004624ed68e0cfbc8572fe28ac79eb879c99f11f488f,7561616d63c14141,,g3779,current_freshwater-08259b1e6c09,1,True,,
current_freshwater-96a56f0ca173,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_129.jpg,test_split/Bacterial Red disease_Bacterial Red disease_129.jpg,Bacterial Red disease_Bacterial Red disease_129.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,a3c22aa8bb9c4f592f6ba5d0d9b9e1ec621cf477f72d0ef64dae0d4fc5ed2a14,f1f9f87436160e0d,,g6047,current_freshwater-96a56f0ca173,2,True,,
current_freshwater-0272afc34415,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_130.jpg,test_split/Bacterial Red disease_Bacterial Red disease_130.jpg,Bacterial Red disease_Bacterial Red disease_130.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,06a0041e5c34374c23f275a9f2c3582ae917078c7cc2e2d71985b11954d492b6,0c0c8c8cccdcccec,,g917,current_freshwater-0272afc34415,1,True,,
current_freshwater-8c1b8968cdf9,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_15.jpg,test_split/Bacterial Red disease_Bacterial Red disease_15.jpg,Bacterial Red disease_Bacterial Red disease_15.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,7559c5ef420cfa66515d40f60aea31765d0447c5c1d144e9b0b386f5b674c96f,0401000507326013,,g555,current_freshwater-8c1b8968cdf9,1,True,,
current_freshwater-94f8e6eb03a4,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_155.jpg,test_split/Bacterial Red disease_Bacterial Red disease_155.jpg,Bacterial Red disease_Bacterial Red disease_155.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,aaef44a1ae582d49557126467f5cbe1cffd8af5df24decc3d8a3d7905e394a25,1f7efc787c6c6edf,,g1892,current_freshwater-94f8e6eb03a4,1,True,,
current_freshwater-68cd7d83b530,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_16.jpg,test_split/Bacterial Red disease_Bacterial Red disease_16.jpg,Bacterial Red disease_Bacterial Red disease_16.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,224,224,.jpg,4f51de6b7e6141b2b3bf5dbca93874bd7e23a76994710bc26f570aff3c89f95a,f0d0b27870a0e64b,,g5949,current_freshwater-68cd7d83b530,1,True,,
current_freshwater-995b9f02d50b,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_164.jpg,test_split/Bacterial Red disease_Bacterial Red disease_164.jpg,Bacterial Red disease_Bacterial Red disease_164.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,6ce0fd29d222d0d0124693276cf2cca39400a3f60b53d85da3d29ea5c0d756c7,19191d9c9c383838,,g1574,current_freshwater-321834e09499,2,True,,
current_freshwater-e55e0af9827b,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_165.jpg,test_split/Bacterial Red disease_Bacterial Red disease_165.jpg,Bacterial Red disease_Bacterial Red disease_165.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,dc58514181ff4713cba3093281cd6897bf8969e83927a45b3323e96959f6ba9c,060e0e271387c6e6,,g602,current_freshwater-e55e0af9827b,1,True,,
