image_id,source_dataset,filepath,original_path,original_class,unified_class,label,group_id,specimen_id,stratum,fold
current_freshwater-0272afc34415,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_130.jpg,test_split/Bacterial Red disease_Bacterial Red disease_130.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-0272afc34415,,Bacterial Red Disease|current_freshwater,1
current_freshwater-bc76b4330e61,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_186.jpg,test_split/Bacterial Red disease_Bacterial Red disease_186.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-00f1e1382549,,Bacterial Red Disease|current_freshwater,1
current_freshwater-6d1b29b6184f,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_20.jpeg,test_split/Bacterial Red disease_Bacterial Red disease_20.jpeg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-6d1b29b6184f,,Bacterial Red Disease|roboflow,1
current_freshwater-40143d63b50b,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_73.jpg,test_split/Bacterial Red disease_Bacterial Red disease_73.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-40143d63b50b,,Bacterial Red Disease|current_freshwater,1
current_freshwater-a467e93b8e61,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_11.jpg,train_split/Bacterial Red disease/Bacterial Red disease_11.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-6e4e27605886,,Bacterial Red Disease|current_freshwater,1
current_freshwater-82dd4d57c5a4,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_112.jpg,train_split/Bacterial Red disease/Bacterial Red disease_112.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-82dd4d57c5a4,,Bacterial Red Disease|current_freshwater,1
current_freshwater-d899f2e78d63,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_122.jpg,train_split/Bacterial Red disease/Bacterial Red disease_122.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-d899f2e78d63,,Bacterial Red Disease|current_freshwater,1
current_freshwater-8b3efc0de82c,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_127.jpg,train_split/Bacterial Red disease/Bacterial Red disease_127.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-8b3efc0de82c,,Bacterial Red Disease|current_freshwater,1
current_freshwater-39ead0a55163,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_18.jpg,train_split/Bacterial Red disease/Bacterial Red disease_18.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-39ead0a55163,,Bacterial Red Disease|current_freshwater,1
current_freshwater-0d940ab3ae2d,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_183.jpg,train_split/Bacterial Red disease/Bacterial Red disease_183.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-0d940ab3ae2d,,Bacterial Red Disease|current_freshwater,1
current_freshwater-fe441e147007,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_187.jpg,train_split/Bacterial Red disease/Bacterial Red disease_187.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-a03b8b2b124e,,Bacterial Red Disease|current_freshwater,1
current_freshwater-00dc3d27c5da,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_195.jpg,train_split/Bacterial Red disease/Bacterial Red disease_195.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-00dc3d27c5da,,Bacterial Red Disease|current_freshwater,1
current_freshwater-746b9e508485,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_199.jpg,train_split/Bacterial Red disease/Bacterial Red disease_199.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-746b9e508485,,Bacterial Red Disease|current_freshwater,1
current_freshwater-ba2738150e9f,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_201.jpg,train_split/Bacterial Red disease/Bacterial Red disease_201.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-ba2738150e9f,,Bacterial Red Disease|current_freshwater,1
current_freshwater-4ca9fe7cda40,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_75.jpg,train_split/Bacterial Red disease/Bacterial Red disease_75.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-4ca9fe7cda40,,Bacterial Red Disease|current_freshwater,1
current_freshwater-722ce1d600a1,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_0.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_0.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-722ce1d600a1,,Bacterial Red Disease|current_freshwater,1
current_freshwater-03c524073d6a,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_12.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_12.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-03c524073d6a,,Bacterial Red Disease|current_freshwater,1
current_freshwater-01dda11546bc,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_154.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_154.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-01dda11546bc,,Bacterial Red Disease|current_freshwater,1
current_freshwater-d1cfa13ad593,current_freshwater,data/raw/current_freshwater/train_split/Bacterial Red disease/Bacterial Red disease_aug_159.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_159.jpg,Bacterial Red disease,Bacterial Red Disease,0,current_freshwater-d1cfa13ad593,,Bacterial Red Disease|current_freshwater,1
