dataset,dataset_name,local_path,split_or_structure,original_class,image_count,extensions,species,specimens,dimensions,corrupt,metadata_available,notes
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,Bacterial Red disease,28,.jpeg:3 .jpg:25,,,640x640:14 128x128:8 224x224:6,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,Bacterial diseases - Aeromoniasis,49,.jpg:48 .png:1,,,128x128:40 224x224:7 640x640:2,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,Bacterial gill disease,45,.jpeg:5 .jpg:39 .png:1,,,640x640:25 224x224:11 128x128:9,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,EUS,56,.jpg:56,,,640x640:55 259x194:1,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,Fungal diseases Saprolegniasis,19,.jpeg:2 .jpg:17,,,128x128:9 640x640:7 224x224:3,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,Healthy Fish,47,.jpg:47,,,640x640:47,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,Parasitic diseases,37,.jpeg:2 .jpg:35,,,640x640:19 128x128:14 224x224:4,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,test_split,Viral diseases White tail disease,22,.jpg:22,,,640x640:14 128x128:6 224x224:2,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,Bacterial Red disease,400,.jpg:394 .png:6,,,640x640:249 128x128:80 224x224:71,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,Bacterial diseases - Aeromoniasis,400,.jpeg:4 .jpg:395 .png:1,,,128x128:323 224x224:57 640x640:18 224x109:2,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
