image_a,image_b,source_dataset_a,source_dataset_b,original_path_a,original_path_b,original_class_a,original_class_b,unified_class_a,unified_class_b,hash_type,hash_value_or_comparison,similarity_or_distance,duplicate_status,cross_dataset,label_relation,recommended_action,reason
current_freshwater-baaba54ce1e1,current_freshwater-e824fbe3be9b,current_freshwater,current_freshwater,train_split/EUS/EUS_238.jpg,train_split/EUS/EUS_aug_42.jpg,EUS,EUS,EUS Disease,EUS Disease,sha256,00b4d5169c6943c6fa34f3abbe1d597c66f41acdd31398308fbaa0757e5fab78,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-b75ffe8b1127,current_freshwater-0170a181a8c1,current_freshwater,current_freshwater,train_split/EUS/EUS_266.jpg,train_split/EUS/EUS_aug_60.jpg,EUS,EUS,EUS Disease,EUS Disease,sha256,00e1baf688ee6856a6475b203631551b99b48c5ab3dec1aee34bc413626b9e2f,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-af63950b8f1c,roboflow-6fc251162abc,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_215.jpg,train/Healthy Fish/Healthy-Fish-172-_jpg.rf.97f8b00ec8b26e1b6a29b927da95ae02.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,019fca397ad5801eb50a43787ffb0c5f77f6268956da14b9f924a090adfa537f,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-606f6e02aa1b,current_freshwater-2cbcd83e893c,current_freshwater,current_freshwater,train_split/Bacterial diseases - Aeromoniasis/Bacterial diseases - Aeromoniasis_aug_180.jpg,train_split/Bacterial diseases - Aeromoniasis/Bacterial diseases - Aeromoniasis_aug_254.jpg,Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis,Aeromoniasis,Aeromoniasis,sha256,02a49f84635ae3b73eaafef894e6a8498c898ec32e2f74d431655afc482dfc44,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
kaptai-063f15b8a0cc,kaptai-8ea2a1b360b0,kaptai,kaptai,Argulus/18.jpg,Healthy Fish/healthy (26).jpg,Argulus,Healthy Fish,,Healthy Fish,sha256,090ad91feebbe3e4bf8dd1a4bda2a1601e62a85c566fe60cc4f3e1d55eef4ab4,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-179382445739,current_freshwater-722627566bca,current_freshwater,current_freshwater,train_split/Healthy Fish/Healthy Fish_380.jpg,train_split/Healthy Fish/Healthy Fish_aug_75.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,0a5ed7bd1382a50088c12f5afd9c63a095b74845676aea9cd6a51c25b2ce6aa7,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-4dd6bc23a8a1,current_freshwater-a91407310df2,current_freshwater,current_freshwater,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_190.jpg,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_334.jpg,Fungal diseases Saprolegniasis,Fungal diseases Saprolegniasis,Saprolegniasis,Saprolegniasis,sha256,0b8e520191c30f8531c8181554e833cc3afbbecc281082ece166fb0bb1a58bc5,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-f1d1bdcf38f8,roboflow-091b31907559,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_193.jpg,train/Healthy Fish/Healthy-Fish-144-_jpg.rf.360be2c174e5fd76361a72c2e04ddc08.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,0c20c668328e62fc4c41adb981f774933ef5acfa1f857c01af1135578121aa30,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-15f59c4dd811,current_freshwater-6c4c12483e8a,current_freshwater,current_freshwater,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_341.jpg,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_81.jpg,Fungal diseases Saprolegniasis,Fungal diseases Saprolegniasis,Saprolegniasis,Saprolegniasis,sha256,0c4014937f7feba3d7fe576603b28d5cca5051c670372cbdb795d33331da7b9b,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
kaptai-db779039ef04,kaptai-e4af1e0f9be1,kaptai,kaptai,Argulus/30.jpg,Broken antennae and rostrum/Broken antennae and rostrum  (7).jpg,Argulus,Broken antennae and rostrum,,,sha256,0dcb687e7ae06c23071bbe9a3ac39b0701489b8627d9c2359c642dbb1657105c,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
