filepath,label,class_name,split
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_1.jpeg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_12.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_15.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_155.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_16.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_165.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_180.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_186.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_203.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_210.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_212.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_221.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_65.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_67.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_73.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_74.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_79.jpeg,0,Bacterial Red Disease,train
data/original/aquahealth/test_split/Bacterial Red disease_Bacterial Red disease_81.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_101.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_102.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_11.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_112.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_114.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_115.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_116.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_119.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_123.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_125.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_127.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_13.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_131.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_135.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_136.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_145.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_146.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_148.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_150.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_151.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_153.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_154.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_156.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_158.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_160.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_176.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_178.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_18.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_181.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_182.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_184.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_185.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_19.jpg,0,Bacterial Red Disease,train
