metric_value,metric_name,experiment_id,stage,epoch,dataset_split,checkpoint,source_file,source_line_or_log_reference,verified,notes
0.624,val_f1_macro,EXP-001,head,1,val,,results/experiments/EXP-001/metrics.csv,line 2,YES,VALIDATION RESULT
0.6935,val_f1_macro,EXP-001,head,2,val,,results/experiments/EXP-001/metrics.csv,line 3,YES,VALIDATION RESULT
0.7255,val_f1_macro,EXP-001,head,3,val,,results/experiments/EXP-001/metrics.csv,line 4,YES,VALIDATION RESULT
0.7445,val_f1_macro,EXP-001,head,4,val,,results/experiments/EXP-001/metrics.csv,line 5,YES,VALIDATION RESULT
0.7724,val_f1_macro,EXP-001,head,5,val,,results/experiments/EXP-001/metrics.csv,line 6,YES,VALIDATION RESULT
0.7562,val_f1_macro,EXP-001,partial,1,val,,results/experiments/EXP-001/metrics.csv,line 7,YES,VALIDATION RESULT
0.8025,val_f1_macro,EXP-001,partial,2,val,,results/experiments/EXP-001/metrics.csv,line 8,YES,VALIDATION RESULT
0.8352,val_f1_macro,EXP-001,partial,3,val,,results/experiments/EXP-001/metrics.csv,line 9,YES,VALIDATION RESULT
0.8494,val_f1_macro,EXP-001,partial,4,val,,results/experiments/EXP-001/metrics.csv,line 10,YES,VALIDATION RESULT
0.8632,val_f1_macro,EXP-001,partial,5,val,,results/experiments/EXP-001/metrics.csv,line 11,YES,VALIDATION RESULT
0.8729,val_f1_macro,EXP-001,partial,6,val,,results/experiments/EXP-001/metrics.csv,line 12,YES,VALIDATION RESULT
0.8841,val_f1_macro,EXP-001,partial,7,val,,results/experiments/EXP-001/metrics.csv,line 13,YES,VALIDATION RESULT
0.8844,val_f1_macro,EXP-001,partial,8,val,,results/experiments/EXP-001/metrics.csv,line 14,YES,VALIDATION RESULT
0.9004,val_f1_macro,EXP-001,partial,9,val,,results/experiments/EXP-001/metrics.csv,line 15,YES,VALIDATION RESULT
0.8926,val_f1_macro,EXP-001,partial,10,val,,results/experiments/EXP-001/metrics.csv,line 16,YES,VALIDATION RESULT
0.8573,val_f1_macro,EXP-001,full,1,val,,results/experiments/EXP-001/metrics.csv,line 17,YES,VALIDATION RESULT
0.8499,val_f1_macro,EXP-001,full,2,val,,results/experiments/EXP-001/metrics.csv,line 18,YES,VALIDATION RESULT
0.866,val_f1_macro,EXP-001,full,3,val,,results/experiments/EXP-001/metrics.csv,line 19,YES,VALIDATION RESULT
0.8575,val_f1_macro,EXP-001,full,4,val,,results/experiments/EXP-001/metrics.csv,line 20,YES,VALIDATION RESULT
0.8636,val_f1_macro,EXP-001,full,5,val,,results/experiments/EXP-001/metrics.csv,line 21,YES,VALIDATION RESULT
