filepath,source_split,source_folder,class_name,label,extension,width,height,mode,sha256,dhash,status,exact_dup_group,near_dup_group,split
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_100.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,7af916b756f623feb0ca28787fa7cfb1029e110ee146cdc754da9e9cf6f7c6b0,202eaeae8ce8f0fc,ok,,g1118,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_101.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,4a1f9f22ebc1419aec8a2dc98deb8c37df3c4c9ae6e22f35661254e76726b400,0888c8b86397d333,ok,,g490,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_102.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,c6ccea62d78b38dfd23415ea050ff4b88cf0b7019a98014d71c71ee7d41ee016,3e8ecffb3a1e1f33,ok,,g1493,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_11.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,128,128,RGB,2f85ec03eb369d24cd8381ad85f316e3e6c97017d6edcb01c55c57571f580121,d5c1c7e3f07c1e1d,ok,,g2631,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_112.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,570fec61a534b8ce322a60b685baa8ee0daa83bf70394819ed57087f9f699f7f,c08080142cc0f13c,ok,,g2471,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_114.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,72e97bb17c3bb39983e3bf1ba3548dcc55a86c6271d816311b9daeac5ac72afa,2830302020808000,ok,,g1204,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_115.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,14edf798052da6b23b07967062963a66839c9e6297968dceaf264227fad90a20,3070fcdcb9fdfd78,ok,,g1268,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_116.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,d21c56b369e865b0d577018509a6b1979f5cbb33cf06edadeb552eb2fe81468d,10faf2d2f3f8e860,ok,,g812,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_119.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,a45cf61c69385f3e8fdff66f8177661913b1a2c8f1a16e815c15762a2d635f08,183c5ae8cc9925e9,ok,,g886,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_122.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,39dc3ea55e35f383f2165354ead6763c1eda1e55ab9fd70c9177903623e94f4f,8683a4e4f4e783c3,ok,,g2197,test
