stage,epoch,global_epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,lr_head,lr_backbone,epoch_seconds,trainable_parameters
head,1,1,1.567006539978437,0.4786073825503356,1.273377537727356,0.630859375,0.6492425902236421,0.6278409090909091,0.6239649882822151,0.001,,44.60213394199991,10248
head,2,2,1.054481484745973,0.6925335570469798,1.0537603050470352,0.697265625,0.700338605298056,0.6963003268572825,0.6934998323331174,0.001,,41.77991360099986,10248
head,3,3,0.8377568417747548,0.7739093959731543,0.923337310552597,0.7265625,0.7296216809642522,0.7260538856304986,0.7254770994523503,0.001,,42.28315448500007,10248
head,4,4,0.7229388952255249,0.8141778523489933,0.8391343876719475,0.74609375,0.7502621220389684,0.7452296401515152,0.7444718144574913,0.001,,42.353036657000075,10248
head,5,5,0.6424463299296846,0.8330536912751678,0.7765192985534668,0.7734375,0.7764075880618607,0.7735474706744868,0.7723760053698346,0.001,,42.7545657820001,10248
partial,1,6,0.8561111208576484,0.7776845637583892,0.8459670692682266,0.759765625,0.7616151773079017,0.7591069464809385,0.7561692629365911,0.0003,3e-05,44.45838414600007,3165988
partial,2,7,0.60333319478387,0.8636744966442953,0.7042736783623695,0.8046875,0.805222479404803,0.8047818151270772,0.8025010505643472,0.0003,3e-05,42.365111449000096,3165988
partial,3,8,0.4706431755283535,0.8909395973154363,0.5978793576359749,0.8359375,0.8379229651846298,0.836054725684262,0.8351918182344433,0.0003,3e-05,44.567895619999945,3165988
partial,4,9,0.3754026589777646,0.9140100671140939,0.522049430757761,0.849609375,0.8529038992305599,0.850112643572825,0.8494183676651477,0.0003,3e-05,45.20376203700016,3165988
partial,5,10,0.29393804673380497,0.9395973154362416,0.4576466716825962,0.86328125,0.864803899391061,0.8638631781524927,0.8632384570366454,0.0003,3e-05,46.123195919999944,3165988
partial,6,11,0.23728092114797375,0.9567953020134228,0.41951218247413635,0.873046875,0.8758268579842399,0.8734470460654936,0.8729250712935535,0.0003,3e-05,45.582582831999844,3165988
partial,7,12,0.2040879888422537,0.9601510067114094,0.38840215280652046,0.884765625,0.8859893051368195,0.8852528561827957,0.884107010457895,0.0003,3e-05,44.337207361999845,3165988
partial,8,13,0.16805525764122906,0.9702181208053692,0.3655362408608198,0.884765625,0.8867761216606755,0.8854930351906158,0.8843930706147386,0.0003,3e-05,45.62197849900008,3165988
partial,9,14,0.14084862562634,0.9781879194630873,0.3380630351603031,0.900390625,0.9017547722964443,0.9009603341886608,0.9004223487598438,0.0003,3e-05,45.83632127199985,3165988
partial,10,15,0.12178163120410586,0.9773489932885906,0.32028963416814804,0.892578125,0.8946668428790701,0.8933845766129033,0.8925678598092947,0.0003,3e-05,42.69230269400009,3165988
full,1,16,0.2987037477077254,0.9098154362416108,0.4490622766315937,0.859375,0.8640207384113916,0.8604540872434018,0.8573420436381551,0.0003,1e-05,47.96809359200006,4017796
full,2,17,0.23546355342704978,0.9387583892617449,0.44496459886431694,0.8515625,0.8575437876228776,0.852621731427175,0.8498589378575195,0.0003,1e-05,41.41663775200004,4017796
full,3,18,0.20907461503208083,0.9425335570469798,0.40662199445068836,0.8671875,0.869657234059364,0.8684006140029326,0.8659501933904851,0.0003,1e-05,43.71885195699997,4017796
full,4,19,0.1834714234675337,0.9521812080536913,0.42826415784657,0.859375,0.8644553326845659,0.8606434811827957,0.8575338684215381,0.0003,1e-05,45.57467564600006,4017796
full,5,20,0.15965932507642963,0.9614093959731543,0.3957386827096343,0.865234375,0.8684500131131905,0.8661359054252199,0.8636181743227377,0.0003,1e-05,43.29431956400026,4017796
full,6,21,0.14635750281330723,0.964765100671141,0.38624007161706686,0.8671875,0.8689821040468324,0.8679118554496579,0.8647689766590213,0.0003,1e-05,42.99187173600012,4017796
full,7,22,0.12931154808342057,0.9685402684563759,0.41343928314745426,0.8515625,0.8566243618913056,0.8524567754154448,0.8483806348875901,0.0003,1e-05,43.89905271400039,4017796
full,8,23,0.1160128265619278,0.9693791946308725,0.40839447919279337,0.853515625,0.8614746137931024,0.8545278897849462,0.8515916957059506,0.0003,1e-05,44.22933627500015,4017796
full,9,24,0.11040552690525184,0.9786073825503355,0.37512747943401337,0.87109375,0.8751857474424493,0.8718849279081133,0.8697086443424137,0.0003,1e-05,43.897385503999885,4017796
full,10,25,0.1024435924603635,0.9773489932885906,0.379363177344203,0.861328125,0.8654218621379638,0.8621708516617791,0.8590711141078194,0.0003,1e-05,45.19616937699993,4017796
full,11,26,0.09261711561839853,0.9773489932885906,0.38272114284336567,0.861328125,0.8673597961218421,0.8619856579912024,0.8590234646130329,0.0003,1e-05,44.47020064000026,4017796
full,12,27,0.08260480889537991,0.9802852348993288,0.3928556088358164,0.853515625,0.8593630762893822,0.8543507148093842,0.8503648787912791,0.0003,1e-05,44.112737515999925,4017796
full,13,28,0.08741749263049772,0.9786073825503355,0.38025743793696165,0.86328125,0.8681301024317768,0.8638204117790811,0.8608257852781324,0.0003,1e-05,44.77123939399962,4017796
full,14,29,0.073500116199455,0.9848993288590604,0.3820435870438814,0.861328125,0.8678503994190269,0.8620486620234604,0.8585044855667249,0.0003,1e-05,44.62606787599998,4017796
full,15,30,0.06539787487095634,0.985738255033557,0.3668739693239331,0.873046875,0.8762633839585166,0.87346766556696,0.8705686295174252,0.0003,1e-05,44.06250725300015,4017796
