experiment_id,model,fold,data_arm,train_manifest,validation_manifest,status
cnn_vit_lstm_fold01_without_gan,cnn_vit_lstm,01,without_gan,data/audit/cv_v3/fold_01_train.csv,data/audit/cv_v3/fold_01_validation.csv,COMPLETED
cnn_vit_lstm_fold01_with_gan,cnn_vit_lstm,01,with_gan,data/gan/fold_01/fold_01_train_gan.csv,data/audit/cv_v3/fold_01_validation.csv,PENDING
cnn_vit_lstm_fold02_without_gan,cnn_vit_lstm,02,without_gan,data/audit/cv_v3/fold_02_train.csv,data/audit/cv_v3/fold_02_validation.csv,PENDING
cnn_vit_lstm_fold02_with_gan,cnn_vit_lstm,02,with_gan,data/gan/fold_02/fold_02_train_gan.csv,data/audit/cv_v3/fold_02_validation.csv,PENDING
cnn_vit_lstm_fold03_without_gan,cnn_vit_lstm,03,without_gan,data/audit/cv_v3/fold_03_train.csv,data/audit/cv_v3/fold_03_validation.csv,PENDING
cnn_vit_lstm_fold03_with_gan,cnn_vit_lstm,03,with_gan,data/gan/fold_03/fold_03_train_gan.csv,data/audit/cv_v3/fold_03_validation.csv,PENDING
cnn_vit_lstm_fold04_without_gan,cnn_vit_lstm,04,without_gan,data/audit/cv_v3/fold_04_train.csv,data/audit/cv_v3/fold_04_validation.csv,PENDING
cnn_vit_lstm_fold04_with_gan,cnn_vit_lstm,04,with_gan,data/gan/fold_04/fold_04_train_gan.csv,data/audit/cv_v3/fold_04_validation.csv,PENDING
cnn_vit_lstm_fold05_without_gan,cnn_vit_lstm,05,without_gan,data/audit/cv_v3/fold_05_train.csv,data/audit/cv_v3/fold_05_validation.csv,PENDING
cnn_vit_lstm_fold05_with_gan,cnn_vit_lstm,05,with_gan,data/gan/fold_05/fold_05_train_gan.csv,data/audit/cv_v3/fold_05_validation.csv,PENDING
cnn_vit_lstm_fold06_without_gan,cnn_vit_lstm,06,without_gan,data/audit/cv_v3/fold_06_train.csv,data/audit/cv_v3/fold_06_validation.csv,PENDING
cnn_vit_lstm_fold06_with_gan,cnn_vit_lstm,06,with_gan,data/gan/fold_06/fold_06_train_gan.csv,data/audit/cv_v3/fold_06_validation.csv,PENDING
cnn_vit_lstm_fold07_without_gan,cnn_vit_lstm,07,without_gan,data/audit/cv_v3/fold_07_train.csv,data/audit/cv_v3/fold_07_validation.csv,PENDING
cnn_vit_lstm_fold07_with_gan,cnn_vit_lstm,07,with_gan,data/gan/fold_07/fold_07_train_gan.csv,data/audit/cv_v3/fold_07_validation.csv,PENDING
cnn_vit_lstm_fold08_without_gan,cnn_vit_lstm,08,without_gan,data/audit/cv_v3/fold_08_train.csv,data/audit/cv_v3/fold_08_validation.csv,PENDING
cnn_vit_lstm_fold08_with_gan,cnn_vit_lstm,08,with_gan,data/gan/fold_08/fold_08_train_gan.csv,data/audit/cv_v3/fold_08_validation.csv,PENDING
cnn_vit_lstm_fold09_without_gan,cnn_vit_lstm,09,without_gan,data/audit/cv_v3/fold_09_train.csv,data/audit/cv_v3/fold_09_validation.csv,PENDING
cnn_vit_lstm_fold09_with_gan,cnn_vit_lstm,09,with_gan,data/gan/fold_09/fold_09_train_gan.csv,data/audit/cv_v3/fold_09_validation.csv,PENDING
cnn_vit_lstm_fold10_without_gan,cnn_vit_lstm,10,without_gan,data/audit/cv_v3/fold_10_train.csv,data/audit/cv_v3/fold_10_validation.csv,PENDING
cnn_vit_lstm_fold10_with_gan,cnn_vit_lstm,10,with_gan,data/gan/fold_10/fold_10_train_gan.csv,data/audit/cv_v3/fold_10_validation.csv,PENDING
yolo_efficientnet_fold01_without_gan,yolo_efficientnet,01,without_gan,data/audit/cv_v3/fold_01_train.csv,data/audit/cv_v3/fold_01_validation.csv,PENDING
yolo_efficientnet_fold01_with_gan,yolo_efficientnet,01,with_gan,data/gan/fold_01/fold_01_train_gan.csv,data/audit/cv_v3/fold_01_validation.csv,PENDING
yolo_efficientnet_fold02_without_gan,yolo_efficientnet,02,without_gan,data/audit/cv_v3/fold_02_train.csv,data/audit/cv_v3/fold_02_validation.csv,PENDING
yolo_efficientnet_fold02_with_gan,yolo_efficientnet,02,with_gan,data/gan/fold_02/fold_02_train_gan.csv,data/audit/cv_v3/fold_02_validation.csv,PENDING
yolo_efficientnet_fold03_without_gan,yolo_efficientnet,03,without_gan,data/audit/cv_v3/fold_03_train.csv,data/audit/cv_v3/fold_03_validation.csv,PENDING
yolo_efficientnet_fold03_with_gan,yolo_efficientnet,03,with_gan,data/gan/fold_03/fold_03_train_gan.csv,data/audit/cv_v3/fold_03_validation.csv,PENDING
yolo_efficientnet_fold04_without_gan,yolo_efficientnet,04,without_gan,data/audit/cv_v3/fold_04_train.csv,data/audit/cv_v3/fold_04_validation.csv,PENDING
yolo_efficientnet_fold04_with_gan,yolo_efficientnet,04,with_gan,data/gan/fold_04/fold_04_train_gan.csv,data/audit/cv_v3/fold_04_validation.csv,PENDING
yolo_efficientnet_fold05_without_gan,yolo_efficientnet,05,without_gan,data/audit/cv_v3/fold_05_train.csv,data/audit/cv_v3/fold_05_validation.csv,PENDING
yolo_efficientnet_fold05_with_gan,yolo_efficientnet,05,with_gan,data/gan/fold_05/fold_05_train_gan.csv,data/audit/cv_v3/fold_05_validation.csv,PENDING
yolo_efficientnet_fold06_without_gan,yolo_efficientnet,06,without_gan,data/audit/cv_v3/fold_06_train.csv,data/audit/cv_v3/fold_06_validation.csv,PENDING
yolo_efficientnet_fold06_with_gan,yolo_efficientnet,06,with_gan,data/gan/fold_06/fold_06_train_gan.csv,data/audit/cv_v3/fold_06_validation.csv,PENDING
yolo_efficientnet_fold07_without_gan,yolo_efficientnet,07,without_gan,data/audit/cv_v3/fold_07_train.csv,data/audit/cv_v3/fold_07_validation.csv,PENDING
yolo_efficientnet_fold07_with_gan,yolo_efficientnet,07,with_gan,data/gan/fold_07/fold_07_train_gan.csv,data/audit/cv_v3/fold_07_validation.csv,PENDING
yolo_efficientnet_fold08_without_gan,yolo_efficientnet,08,without_gan,data/audit/cv_v3/fold_08_train.csv,data/audit/cv_v3/fold_08_validation.csv,PENDING
yolo_efficientnet_fold08_with_gan,yolo_efficientnet,08,with_gan,data/gan/fold_08/fold_08_train_gan.csv,data/audit/cv_v3/fold_08_validation.csv,PENDING
yolo_efficientnet_fold09_without_gan,yolo_efficientnet,09,without_gan,data/audit/cv_v3/fold_09_train.csv,data/audit/cv_v3/fold_09_validation.csv,PENDING
yolo_efficientnet_fold09_with_gan,yolo_efficientnet,09,with_gan,data/gan/fold_09/fold_09_train_gan.csv,data/audit/cv_v3/fold_09_validation.csv,PENDING
yolo_efficientnet_fold10_without_gan,yolo_efficientnet,10,without_gan,data/audit/cv_v3/fold_10_train.csv,data/audit/cv_v3/fold_10_validation.csv,PENDING
yolo_efficientnet_fold10_with_gan,yolo_efficientnet,10,with_gan,data/gan/fold_10/fold_10_train_gan.csv,data/audit/cv_v3/fold_10_validation.csv,PENDING
cnn_bilstm_fold01_without_gan,cnn_bilstm,01,without_gan,data/audit/cv_v3/fold_01_train.csv,data/audit/cv_v3/fold_01_validation.csv,PENDING
cnn_bilstm_fold01_with_gan,cnn_bilstm,01,with_gan,data/gan/fold_01/fold_01_train_gan.csv,data/audit/cv_v3/fold_01_validation.csv,PENDING
cnn_bilstm_fold02_without_gan,cnn_bilstm,02,without_gan,data/audit/cv_v3/fold_02_train.csv,data/audit/cv_v3/fold_02_validation.csv,PENDING
cnn_bilstm_fold02_with_gan,cnn_bilstm,02,with_gan,data/gan/fold_02/fold_02_train_gan.csv,data/audit/cv_v3/fold_02_validation.csv,PENDING
cnn_bilstm_fold03_without_gan,cnn_bilstm,03,without_gan,data/audit/cv_v3/fold_03_train.csv,data/audit/cv_v3/fold_03_validation.csv,PENDING
cnn_bilstm_fold03_with_gan,cnn_bilstm,03,with_gan,data/gan/fold_03/fold_03_train_gan.csv,data/audit/cv_v3/fold_03_validation.csv,PENDING
cnn_bilstm_fold04_without_gan,cnn_bilstm,04,without_gan,data/audit/cv_v3/fold_04_train.csv,data/audit/cv_v3/fold_04_validation.csv,PENDING
cnn_bilstm_fold04_with_gan,cnn_bilstm,04,with_gan,data/gan/fold_04/fold_04_train_gan.csv,data/audit/cv_v3/fold_04_validation.csv,PENDING
cnn_bilstm_fold05_without_gan,cnn_bilstm,05,without_gan,data/audit/cv_v3/fold_05_train.csv,data/audit/cv_v3/fold_05_validation.csv,PENDING
cnn_bilstm_fold05_with_gan,cnn_bilstm,05,with_gan,data/gan/fold_05/fold_05_train_gan.csv,data/audit/cv_v3/fold_05_validation.csv,PENDING
