epoch,stage,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,lr_head,lr_backbone,seconds,improved
1,head,2.05591,0.202638,0.189066,0.194173,0.17363,2.037556,0.215873,0.193203,0.203657,0.180992,0.187625,0.0003,,58.1,True
2,head,2.00365,0.280322,0.249657,0.265205,0.243136,2.002,0.279365,0.268826,0.261862,0.229999,0.238779,0.000225,,53.7,True
3,head,1.980425,0.305973,0.285353,0.289773,0.263759,1.991063,0.273016,0.277174,0.255444,0.221121,0.229897,7.500000000000003e-05,,55.9,False
4,full,1.777247,0.394284,0.39993,0.377251,0.346266,1.546146,0.434921,0.388554,0.417118,0.353837,0.364955,0.0003,3e-05,62.1,True
5,full,1.182458,0.614511,0.601511,0.603259,0.585834,1.07399,0.619048,0.641395,0.611362,0.59867,0.604808,0.00029898575366129145,2.9898575366129145e-05,61.7,True
6,full,0.68096,0.787834,0.78152,0.78331,0.780745,0.878168,0.701587,0.717436,0.69739,0.688213,0.691462,0.00029595673058697357,2.959567305869736e-05,61.6,True
7,full,0.370173,0.891169,0.889562,0.889282,0.888944,0.693103,0.768254,0.774177,0.767483,0.76369,0.765784,0.0002909538931178863,2.909538931178863e-05,62.7,True
8,full,0.25298,0.923782,0.922866,0.923489,0.923144,0.678077,0.8,0.804182,0.797715,0.794032,0.796214,0.00028404489604851187,2.8404489604851186e-05,62.1,True
9,full,0.167809,0.952364,0.95209,0.951926,0.951937,0.664497,0.803175,0.806869,0.800632,0.797024,0.800178,0.0002753231717119405,2.753231717119405e-05,63.1,True
10,full,0.130369,0.961891,0.961718,0.961604,0.961648,0.654,0.815873,0.817566,0.814013,0.809869,0.812182,0.0002649066664678467,2.649066664678467e-05,62.8,True
11,full,0.106981,0.969586,0.969312,0.969455,0.969332,0.617319,0.831746,0.842259,0.831256,0.829326,0.830622,0.00025293624568031007,2.5293624568031005e-05,62.1,True
12,full,0.077861,0.97838,0.97826,0.978392,0.978314,0.641271,0.822222,0.832451,0.820913,0.817312,0.819637,0.00023957378875541792,2.395737887554179e-05,61.8,False
13,full,0.074044,0.975815,0.975507,0.975751,0.975607,0.595838,0.84127,0.848745,0.84017,0.836943,0.838708,0.000225,2.2499999999999998e-05,59.8,True
14,full,0.066289,0.979113,0.979036,0.978846,0.978915,0.624216,0.84127,0.860864,0.840107,0.834983,0.837125,0.00020941196490587352,2.094119649058735e-05,62.2,False
15,full,0.067826,0.980945,0.980964,0.980763,0.980851,0.577204,0.857143,0.87081,0.855181,0.85292,0.855857,0.00019302048490666353,1.9302048490666353e-05,60.5,True
16,full,0.055463,0.981678,0.981688,0.981403,0.981527,0.478234,0.879365,0.885168,0.87773,0.876051,0.878346,0.00017604722665003956,1.7604722665003955e-05,62.5,True
17,full,0.053274,0.982411,0.982526,0.982538,0.982525,0.607108,0.857143,0.865982,0.855092,0.853088,0.855843,0.00015872172433657137,1.5872172433657135e-05,61.9,False
18,full,0.054383,0.982778,0.982738,0.982614,0.982666,0.586676,0.860317,0.878558,0.857448,0.853638,0.85717,0.00014127827566342863,1.4127827566342862e-05,60.2,False
19,full,0.040943,0.988641,0.988467,0.988688,0.988563,0.56177,0.866667,0.877604,0.865315,0.863489,0.865721,0.0001239527733499605,1.2395277334996047e-05,60.0,False
20,full,0.028917,0.992671,0.9927,0.992646,0.992663,0.5766,0.863492,0.8754,0.860977,0.859436,0.862421,0.00010697951509333647,1.0697951509333645e-05,60.2,False
21,full,0.039671,0.987908,0.987793,0.987934,0.987852,0.527153,0.869841,0.875107,0.868364,0.866138,0.867809,9.058803509412648e-05,9.058803509412645e-06,59.2,False
22,full,0.029752,0.992671,0.992698,0.992733,0.992709,0.457952,0.888889,0.892036,0.886411,0.885071,0.88718,7.500000000000003e-05,7.500000000000002e-06,58.6,True
23,full,0.023992,0.995236,0.995494,0.995124,0.995298,0.539673,0.869841,0.877291,0.868457,0.866097,0.868275,6.042621124458211e-05,6.04262112445821e-06,62.6,False
24,full,0.026195,0.992671,0.992763,0.992673,0.992714,0.495298,0.895238,0.90232,0.893007,0.89278,0.894725,4.7063754319689976e-05,4.706375431968997e-06,58.7,True
25,full,0.022613,0.994137,0.994091,0.994143,0.994113,0.493103,0.88254,0.887972,0.880457,0.879769,0.881411,3.509333353215326e-05,3.509333353215326e-06,61.1,False
26,full,0.026381,0.993771,0.993638,0.993881,0.993753,0.512975,0.88254,0.891387,0.881366,0.879988,0.881787,2.4676828288059558e-05,2.4676828288059557e-06,60.3,False
27,full,0.027852,0.990473,0.990441,0.990437,0.990434,0.535131,0.87619,0.880136,0.87436,0.873191,0.875144,1.5955103951488177e-05,1.5955103951488175e-06,60.0,False
28,full,0.028627,0.992305,0.99227,0.992243,0.992246,0.502102,0.898413,0.903598,0.896385,0.895605,0.897354,9.046106882113753e-06,9.046106882113752e-07,59.8,True
29,full,0.026797,0.991572,0.991548,0.991559,0.991548,0.446777,0.898413,0.901553,0.896436,0.896186,0.897461,4.043269413026429e-06,4.0432694130264285e-07,62.5,True
30,full,0.025319,0.994503,0.994386,0.994582,0.994475,0.479284,0.895238,0.9017,0.894271,0.893518,0.894856,1.0142463387085464e-06,1.0142463387085464e-07,62.2,False
