synthetic_id,fold,class,label,generation_seed,generation_config,config_file,training_source,training_source_sha256,path,sha256,width,height,format,source_dataset,generator_checkpoint,generator_sha256,architecture,device,gpu_name,generated_at,index
gan-f01-69bb414ab796,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00000.png,8edeab229f3a9f5be2085daeedfce111a390961d156899fd3a7db8dae6d9c331,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,0
gan-f01-df566f060e8f,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00001.png,41d855135c9c915dc5499ed41e5f2f4448d07faebf10c4aa71b96531dc350825,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,1
gan-f01-04d925277e0c,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00002.png,9fc75601a9ec3e45aa6f284152bc582aaef357c7a7160fb5b56cc563929b57f5,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,2
gan-f01-ac255738f55f,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00003.png,f30dfc31057db8636cadf2a0f2150ebc777a7e7a5a3367a7f938122d171e917d,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,3
gan-f01-9630c3b9f4e4,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00004.png,802dccee5e3006b7f5cf0c391cf7c20a84ce223dfb50efcc3b881a3a51ebdedd,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,4
gan-f01-91458c8ba86b,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00005.png,6c48eeecf72227ec5a4991d5103a15bdd30f54bece431ea059f93e655c5cfd63,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,5
gan-f01-629d2287b6e8,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00006.png,7ea779e89a4617ea495266bc1165ce974e490349f1d12fe495090b45ca1d2b26,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,6
gan-f01-dd1d6cda2485,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00007.png,4fb4ee9dbd10c0faedae1773371ac0ed9ef3aacf2bcc1003df5bd8ff468c4603,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,7
gan-f01-58151621b9d2,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00008.png,e7f9d41b0d4a4c7512bb59aaa6787625868cc4fb0b2f63185b3a4fcf29457660,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,8
gan-f01-11686903d9e8,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00009.png,6b22c17504f4fb50e67e177ea147bef4ff0edfa5ff5703e67d991ebceeb8f187,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,9
