fold,architecture,latent_dim,resolution,epochs,batch_size,optimizer,learning_rate,beta1,beta2,seed,device,gpu_name,cuda_version,real_training_images,real_per_class,generated_count,generated_per_class,source_training_fold,source_training_fold_sha256,forbidden_ids_checked,generator_checkpoint,generator_sha256,synthetic_manifest,synthetic_manifest_sha256,with_gan_manifest,with_gan_manifest_sha256,torch_version,started,seconds,smoke_run
1,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2729,"{""Aeromoniasis"": 348, ""Bacterial Gill Disease"": 354, ""Bacterial Red Disease"": 324, ""EUS Disease"": 331, ""Healthy Fish"": 403, ""Parasitic Disease"": 330, ""Saprolegniasis"": 317, ""White Tail Disease"": 322}",495,"{""Aeromoniasis"": 55, ""Bacterial Gill Disease"": 49, ""Bacterial Red Disease"": 79, ""EUS Disease"": 72, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 86, ""White Tail Disease"": 81}",/content/aquahealth/data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,1076,/content/aquahealth/data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,/content/aquahealth/data/gan/fold_01/synthetic_manifest.csv,3fb43c857a7304f43c9eda4f973ed46f05b7d6616b22c771d9ca5544ece12d16,/content/aquahealth/data/gan/fold_01/fold_01_train_gan.csv,8c543425f0a24f8eb6c04ed399d0df780898eb554a062ba2ed0fe8631866c9e8,2.14.0+cu130,2026-09-20T11:14:11,212.8,False
2,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2733,"{""Aeromoniasis"": 348, ""Bacterial Gill Disease"": 355, ""Bacterial Red Disease"": 325, ""EUS Disease"": 331, ""Healthy Fish"": 403, ""Parasitic Disease"": 332, ""Saprolegniasis"": 317, ""White Tail Disease"": 322}",491,"{""Aeromoniasis"": 55, ""Bacterial Gill Disease"": 48, ""Bacterial Red Disease"": 78, ""EUS Disease"": 72, ""Healthy Fish"": 0, ""Parasitic Disease"": 71, ""Saprolegniasis"": 86, ""White Tail Disease"": 81}",/content/aquahealth/data/audit/cv_v3/fold_02_train.csv,f5ee082c3215c59a3f56b96d68c87725ea00c18bedf8095c0503f45e88d01872,1072,/content/aquahealth/data/gan/fold_02/generator.pt,a3eb27dc7f2db3a9b5422baf53e6853d3a0304101f2caf391afba2c9aeb7f83d,/content/aquahealth/data/gan/fold_02/synthetic_manifest.csv,29a5857adfa534b318af4b88b5df1a7943d2a56b52799ce3d9d8282d03142ebf,/content/aquahealth/data/gan/fold_02/fold_02_train_gan.csv,fe635b66c6f96082df1c8ef885a5acac84d55e02ef792f71c2be1ba0648d77d4,2.14.0+cu130,2026-09-20T11:18:00,222.5,False
3,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2736,"{""Aeromoniasis"": 349, ""Bacterial Gill Disease"": 355, ""Bacterial Red Disease"": 325, ""EUS Disease"": 331, ""Healthy Fish"": 405, ""Parasitic Disease"": 332, ""Saprolegniasis"": 317, ""White Tail Disease"": 322}",504,"{""Aeromoniasis"": 56, ""Bacterial Gill Disease"": 50, ""Bacterial Red Disease"": 80, ""EUS Disease"": 74, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 88, ""White Tail Disease"": 83}",/content/aquahealth/data/audit/cv_v3/fold_03_train.csv,b3f5d62497e42a2331e346324ec9aa6efe911ff0e33302c75a3aed14433746ab,1069,/content/aquahealth/data/gan/fold_03/generator.pt,3d6efc524b9b29d49b09544f4cd0ad9118a5ac81d36af0a353181019b5fcd037,/content/aquahealth/data/gan/fold_03/synthetic_manifest.csv,a40e29d761f361a4e7c3a507d8bef17aefa1ec86c574299104319a89b384801a,/content/aquahealth/data/gan/fold_03/fold_03_train_gan.csv,402276428bd6235405ba197b526c65a51a5832dc459455ee00242e117b07ca92,2.14.0+cu130,2026-09-20T11:21:58,222.9,False
4,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2736,"{""Aeromoniasis"": 349, ""Bacterial Gill Disease"": 355, ""Bacterial Red Disease"": 325, ""EUS Disease"": 331, ""Healthy Fish"": 405, ""Parasitic Disease"": 332, ""Saprolegniasis"": 317, ""White Tail Disease"": 322}",504,"{""Aeromoniasis"": 56, ""Bacterial Gill Disease"": 50, ""Bacterial Red Disease"": 80, ""EUS Disease"": 74, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 88, ""White Tail Disease"": 83}",/content/aquahealth/data/audit/cv_v3/fold_04_train.csv,f6a0ddd0d98df4397bfb2f6eb560857817e4a145942e0b09f6753a89e7b69e5f,1069,/content/aquahealth/data/gan/fold_04/generator.pt,cd1640684e70f8bd36ec631b4c3d5d0ef6d800e8f6649ef841203f739e37eb83,/content/aquahealth/data/gan/fold_04/synthetic_manifest.csv,7954bc81597c062c3d4f32d918fab01fdfa8d26eba9658b7a59ed5318b51b007,/content/aquahealth/data/gan/fold_04/fold_04_train_gan.csv,404e96e52948e3940c3126fb6197ef2e97eebb0388fee2d24e0e87ac1dadefb9,2.14.0+cu130,2026-09-20T11:25:56,222.9,False
5,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2740,"{""Aeromoniasis"": 349, ""Bacterial Gill Disease"": 356, ""Bacterial Red Disease"": 326, ""EUS Disease"": 331, ""Healthy Fish"": 405, ""Parasitic Disease"": 332, ""Saprolegniasis"": 318, ""White Tail Disease"": 323}",500,"{""Aeromoniasis"": 56, ""Bacterial Gill Disease"": 49, ""Bacterial Red Disease"": 79, ""EUS Disease"": 74, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 87, ""White Tail Disease"": 82}",/content/aquahealth/data/audit/cv_v3/fold_05_train.csv,21f8547016168823b8a4bb60d006e8cb5f506bc76cba1e24c1277c3ecb5ef3d4,1065,/content/aquahealth/data/gan/fold_05/generator.pt,0ac349c18b6803b9697df056dcf9b07231abcce11c09369b333f604d7b474bbe,/content/aquahealth/data/gan/fold_05/synthetic_manifest.csv,28526d60b4e2be7af29510e1b366051a3eed4dcaf6d5c29ffccd7fc66b5fd7f0,/content/aquahealth/data/gan/fold_05/fold_05_train_gan.csv,4723e094c00785c43894735514029bed82052775d3bfc80878326a5cf06ee9d8,2.14.0+cu130,2026-09-20T11:29:55,223.2,False
6,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2740,"{""Aeromoniasis"": 349, ""Bacterial Gill Disease"": 356, ""Bacterial Red Disease"": 326, ""EUS Disease"": 331, ""Healthy Fish"": 405, ""Parasitic Disease"": 332, ""Saprolegniasis"": 318, ""White Tail Disease"": 323}",500,"{""Aeromoniasis"": 56, ""Bacterial Gill Disease"": 49, ""Bacterial Red Disease"": 79, ""EUS Disease"": 74, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 87, ""White Tail Disease"": 82}",/content/aquahealth/data/audit/cv_v3/fold_06_train.csv,b0b92ea1e5af403b615924ad41aa36e79d354d6f9d22887bafbc0127094df4d0,1065,/content/aquahealth/data/gan/fold_06/generator.pt,cbf0b417e7eb1f5883cde2ca79eaf1ddb3b903178dd7d0ba742b7ce33e1ea68e,/content/aquahealth/data/gan/fold_06/synthetic_manifest.csv,63ba20c5aeadefe08b966a37fbe6e0ae831bf4f4113bbd16c17522bea4df2c47,/content/aquahealth/data/gan/fold_06/fold_06_train_gan.csv,a5825d695a8f1066a2c983dcf1ed64980bbf0e46cf105262018f51a00948ac44,2.14.0+cu130,2026-09-20T11:33:53,223.4,False
7,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2741,"{""Aeromoniasis"": 349, ""Bacterial Gill Disease"": 356, ""Bacterial Red Disease"": 326, ""EUS Disease"": 331, ""Healthy Fish"": 406, ""Parasitic Disease"": 332, ""Saprolegniasis"": 318, ""White Tail Disease"": 323}",507,"{""Aeromoniasis"": 57, ""Bacterial Gill Disease"": 50, ""Bacterial Red Disease"": 80, ""EUS Disease"": 75, ""Healthy Fish"": 0, ""Parasitic Disease"": 74, ""Saprolegniasis"": 88, ""White Tail Disease"": 83}",/content/aquahealth/data/audit/cv_v3/fold_07_train.csv,c3a1bf8dbb66120240af4c30d1443b2b18ead5d5ad3618e50ca463bcbb4074fe,1064,/content/aquahealth/data/gan/fold_07/generator.pt,ade723fbe5cc3329d1335d5c301d4786d99c60f369f0f6e0c5f1f43f351a5ccc,/content/aquahealth/data/gan/fold_07/synthetic_manifest.csv,03ad43a696b114e1fc19635ed714f268b3a2f2a8ad9bc59958b133a2c54f0295,/content/aquahealth/data/gan/fold_07/fold_07_train_gan.csv,919b9728ca2aaecc697ce9a4e9d77a09d7e13e8d57814c95a7544e0e8ce2a74c,2.14.0+cu130,2026-09-20T11:37:53,223.2,False
8,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2745,"{""Aeromoniasis"": 350, ""Bacterial Gill Disease"": 356, ""Bacterial Red Disease"": 327, ""EUS Disease"": 331, ""Healthy Fish"": 406, ""Parasitic Disease"": 333, ""Saprolegniasis"": 318, ""White Tail Disease"": 324}",503,"{""Aeromoniasis"": 56, ""Bacterial Gill Disease"": 50, ""Bacterial Red Disease"": 79, ""EUS Disease"": 75, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 88, ""White Tail Disease"": 82}",/content/aquahealth/data/audit/cv_v3/fold_08_train.csv,47cf088cf48d90a850d28de11583cc1e48ee19aa0d353b3d509740d7b7ea0f5a,1060,/content/aquahealth/data/gan/fold_08/generator.pt,a8337b0309330f2196230232c0f99baada447ab79d7c6efa074733a50a238758,/content/aquahealth/data/gan/fold_08/synthetic_manifest.csv,f9245ef76baecf815acf84ee1cc634624bb12ee27389831cb51ae1994591df6e,/content/aquahealth/data/gan/fold_08/fold_08_train_gan.csv,9bed2a7c62c31328941ddec473cbac48303e05261edacbd0806f3fa96b52aef6,2.14.0+cu130,2026-09-20T11:41:52,223.5,False
9,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2747,"{""Aeromoniasis"": 350, ""Bacterial Gill Disease"": 356, ""Bacterial Red Disease"": 327, ""EUS Disease"": 332, ""Healthy Fish"": 406, ""Parasitic Disease"": 333, ""Saprolegniasis"": 318, ""White Tail Disease"": 325}",501,"{""Aeromoniasis"": 56, ""Bacterial Gill Disease"": 50, ""Bacterial Red Disease"": 79, ""EUS Disease"": 74, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 88, ""White Tail Disease"": 81}",/content/aquahealth/data/audit/cv_v3/fold_09_train.csv,680d8c94e7e1aff908d2eaacdc4e54ed35cba56c59f06c6fdc273c7014280b84,1058,/content/aquahealth/data/gan/fold_09/generator.pt,2f99ac863bbea72aa3bff60385fd71d30a0e6f2ef54eee860a91dcfa419caa70,/content/aquahealth/data/gan/fold_09/synthetic_manifest.csv,fa2c3ee28c0e6f3e712a3a854de2d35563f60fc6bb5688d42157d176924fa7ac,/content/aquahealth/data/gan/fold_09/fold_09_train_gan.csv,75edf281ccae069eaa6fe946f27459fb10a0f2c6a02735243457890fa012c411,2.14.0+cu130,2026-09-20T11:45:50,223.5,False
10,cDCGAN (class-conditional DCGAN),100,64x64,30,64,"Adam(lr=0.0002, betas=(0.5, 0.999)) for generator and discriminator",0.0002,0.5,0.999,42,cuda,Tesla T4,13.0,2749,"{""Aeromoniasis"": 351, ""Bacterial Gill Disease"": 356, ""Bacterial Red Disease"": 327, ""EUS Disease"": 332, ""Healthy Fish"": 406, ""Parasitic Disease"": 333, ""Saprolegniasis"": 319, ""White Tail Disease"": 325}",499,"{""Aeromoniasis"": 55, ""Bacterial Gill Disease"": 50, ""Bacterial Red Disease"": 79, ""EUS Disease"": 74, ""Healthy Fish"": 0, ""Parasitic Disease"": 73, ""Saprolegniasis"": 87, ""White Tail Disease"": 81}",/content/aquahealth/data/audit/cv_v3/fold_10_train.csv,a1951723f446bec1b0a45ff614b7e5c7a786c1e65a8bf7a4ab71be181792e2a4,1056,/content/aquahealth/data/gan/fold_10/generator.pt,13ed96fd6e32d8dc8c503a38b8aa2e10cf88b466824da47fd5f19ed690e57e01,/content/aquahealth/data/gan/fold_10/synthetic_manifest.csv,5a85a707feb41f61024fad70de39448c50168ace954455f7a49334179f2a5154,/content/aquahealth/data/gan/fold_10/fold_10_train_gan.csv,55b01666ec4c4d94d5ba6786bcee9045ccebdce23814c49d558db75ae2314b2e,2.14.0+cu130,2026-09-20T11:49:50,224.1,False
